Season,name,Team name,Minutes played,Games played,Goals,Assists,xG,xA,Shots,Key Passes,npg,npxG,Position,Penalty Taker
2014/2015,Romelu Lukaku,Everton,2880,36,10,5,12.430796798318624,2.350205228663981,105,37,8,10.908533286303282,Midfielder,0
2014/2015,Christian Eriksen,Tottenham,3160,38,10,2,7.38963361363858,6.088786491192877,97,84,10,7.38963361363858,Midfielder,0
2014/2015,Diafra Sakho,West Ham,1765,23,10,2,9.070379790849984,2.615855161100626,66,23,10,9.070379790849984,Midfielder,0
2014/2015,Sadio Mané,Southampton,2142,30,10,3,8.5539753716439,3.982480129227042,60,40,10,8.5539753716439,Midfielder,0
2014/2015,Yaya Touré,Manchester City,2358,29,10,1,7.109346902929246,3.2435795087367296,89,33,8,5.5870088106021285,Midfielder,0
2014/2015,Robin van Persie,Manchester United,2126,27,10,2,11.603469084948301,2.9860517624765635,76,27,9,10.08113605901599,Midfielder,0
2014/2015,Juan Mata,Manchester United,2318,33,9,4,6.5977520532906055,4.968639085069299,33,50,8,5.836587090045214,Midfielder,0
2014/2015,Steven Gerrard,Liverpool,2239,28,9,1,7.108821363188326,3.20907860994339,54,52,5,3.3029708499088883,Midfielder,0
2014/2015,Ki Sung-yueng,Swansea,2692,33,8,1,4.3305724542587996,1.2641469975933433,28,26,8,4.3305724542587996,Midfielder,0
2014/2015,Jonathan Walters,Stoke,2439,32,8,4,5.561566700227559,3.240074263419956,45,24,8,5.561566700227559,Midfielder,0
2014/2015,Peter Crouch,Stoke,1648,33,8,2,6.730622369796038,1.883066506125033,59,15,8,6.730622369796038,Midfielder,0
2014/2015,Nikica Jelavic,Hull,1815,26,8,1,4.894789764657617,0.8632267005741596,57,17,8,4.894789764657617,Midfielder,0
2014/2015,Kevin Mirallas,Everton,1430,29,7,1,4.7185029946267605,1.5895474329590797,52,18,7,3.957334976643324,Midfielder,0
2014/2015,Raheem Sterling,Liverpool,3059,35,7,7,8.785912945866585,6.036621885374188,84,75,7,8.785912945866585,Midfielder,0
2014/2015,Loïc Remy,"Chelsea,Queens Park Rangers",839,21,7,0,4.655210020020604,0.6052642147988081,37,6,7,4.655210020020604,Midfielder,0
2014/2015,Gylfi Sigurdsson,Swansea,2721,32,7,10,5.177992397919297,8.451312126591802,67,73,7,5.177992397919297,Midfielder,0
2014/2015,Bafétimbi Gomis,Swansea,1619,31,7,0,7.497829519212246,0.8869193764403462,69,13,7,7.497829519212246,Midfielder,0
2014/2015,Ayoze Pérez,Newcastle United,2369,36,7,0,5.7461924236267805,2.900992516428232,61,28,7,5.7461924236267805,Midfielder,0
2014/2015,Charlie Adam,Stoke,1482,29,7,1,3.407766289077699,2.6491484716534615,62,33,6,2.6466013556346297,Midfielder,0
2014/2015,Glenn Murray,Crystal Palace,859,17,7,3,9.534023240208626,1.5268471762537956,38,7,6,8.011716201901436,Midfielder,0
2014/2015,Santiago Cazorla,Arsenal,2999,37,7,11,10.590725313872099,9.755182644352317,93,78,1,6.023707624524832,Midfielder,0
2014/2015,Aaron Ramsey,Arsenal,2013,29,6,6,6.636921921744943,5.299689516425133,63,47,6,6.636921921744943,Midfielder,0
2014/2015,Jason Puncheon,Crystal Palace,2823,37,6,7,2.794277905486524,5.305931127630174,65,65,6,2.794277905486524,Midfielder,0
2014/2015,Ander Herrera,Manchester United,1877,26,6,4,2.0372255984693766,2.11998759675771,37,26,6,2.0372255984693766,Midfielder,0
2014/2015,Jordan Henderson,Liverpool,3253,37,6,9,4.29442591406405,6.793559268116951,50,67,5,3.533257396891713,Midfielder,0
2014/2015,Marouane Fellaini,Manchester United,1824,27,6,0,5.314917378127575,1.151918701827526,36,21,6,5.314917378127575,Midfielder,0
2014/2015,Oscar,Chelsea,2072,28,6,8,6.540385385975242,5.2243422120809555,72,37,6,6.540385385975242,Midfielder,0
2014/2015,Leroy Fer,Queens Park Rangers,2375,29,6,2,5.116700321435928,3.5862074815668166,54,48,6,5.116700321435928,Midfielder,0
2014/2015,Steven Naismith,Everton,2051,31,6,0,3.9483574014157057,1.9437068775296211,33,25,6,3.9483574014157057,Midfielder,0
2014/2015,Gabriel Agbonlahor,Aston Villa,2698,34,6,1,5.630619999021292,1.5529492190107703,53,16,6,5.630619999021292,Midfielder,0
2014/2015,Stewart Downing,West Ham,3315,37,6,8,4.136292829178274,6.626503786537796,70,85,6,4.136292829178274,Midfielder,0
2014/2015,Frank Lampard,Manchester City,958,32,6,1,4.004464207217097,0.9529220964759588,32,15,6,4.004464207217097,Midfielder,0
